GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccessoShop,com.ecommerce.entity,OrderItem,19,19,0,0,7,10,6,5,6,5
AccessoShop,com.ecommerce.entity,Cart,3,28,0,0,1,12,1,8,1,8
AccessoShop,com.ecommerce.entity,Order,26,41,0,0,10,18,8,9,8,9
AccessoShop,com.ecommerce.entity,Product,44,52,0,0,11,16,7,13,7,13
AccessoShop,com.ecommerce.entity,User,0,38,0,0,0,11,0,11,0,11
AccessoShop,com.ecommerce.entity,Payment,0,48,0,0,0,14,0,13,0,13
AccessoShop,com.ecommerce.service,ProductService,0,43,0,0,0,11,0,8,0,8
AccessoShop,com.ecommerce.service,OrderService,38,0,2,0,9,0,6,0,5,0
AccessoShop,com.ecommerce.service,CartService,1,94,1,5,1,28,1,8,0,6
AccessoShop,com.ecommerce.service,UserService,8,27,0,0,1,7,1,3,1,3
AccessoShop,com.ecommerce.service,PaymentService,0,15,0,0,0,5,0,2,0,2
AccessoShop,com.ecommerce,ProjectEcommerceApplication,5,3,0,0,2,1,1,1,1,1
AccessoShop,com.ecommerce.controller,CartController,6,126,5,7,2,32,5,5,0,4
AccessoShop,com.ecommerce.controller,OrderController,144,232,11,13,39,52,12,7,4,3
AccessoShop,com.ecommerce.controller,AuthController,0,39,0,2,0,12,0,5,0,4
AccessoShop,com.ecommerce.controller,PaymentController,0,11,0,0,0,4,0,2,0,2
AccessoShop,com.ecommerce.controller,HomeController,24,0,0,0,6,0,2,0,2,0
AccessoShop,com.ecommerce.controller,ProductController,159,134,23,6,37,26,17,6,3,4
AccessoShop,com.ecommerce.controller,UserController,0,11,0,0,0,4,0,2,0,2
AccessoShop,com.ecommerce.config,WebConfig,0,20,0,0,0,4,0,2,0,2
AccessoShop,com.ecommerce.config,SecurityConfig,98,0,0,0,16,0,7,0,7,0
AccessoShop,com.ecommerce.config,DataInitializer,159,0,4,0,35,0,5,0,3,0
AccessoShop,com.ecommerce.config,UserDetailsServiceImpl,34,0,2,0,9,0,3,0,2,0
